Name,Specialty,Location,Phone,Email,Vbac,Purdah,Interventions,Presence,Feedback,SentimentScore
ডা: খালেদা আক্তার লাকী,Obstetrics & Gynecology,"কুমিল্লা, কুমিল্লা মেডিকেল সেন্টার প্রাইভেট লিমিটেড,  কুমিল্লা টাওয়ার, রুম নং- ৪৫৩(৩য় ফ্লোর),  লাকসাম রোড, কুমিল্লা।",,,হ্যাঁ,জি উনি নিজে পর্দা করেন নিকাব সহ। এছাড়া পর্দার ব্যাপারেও সহযোগী। উনার কাছে সিজার লাগলে উনাকে রিকুয়েস্ট করলে এনেশথেশিয়ার জন্য মহিলা ডাক্তার উনি দিতে পারবেন বলে জানান। কুমিল্লায় উনার পরিচিত ২জন মহিলা এনেশথেশিয়ার ডাক্তার আছেন। ,"প্রয়োজন অনুযায়ী করান বলে আমার ধারণা। আমার ডায়াবেটিস ছিল, খিচুনি ছিল এজন্য ৩৭ + উইকে পেইন ইনডিউস করা হয় আমার। খিচুনির জন্য উনি নিজে রিস্ক নিতে চাচ্ছিলেন না। তবে আমাদের আগ্রহে রাজি হন।",জি আমার ভিব্যাক উনার কাছেই হয়েছে। আমার ডেলিভারি উনার হাতেই হয়েছে এবং এপিশিওটোমির সেলাই ও উনি নিজে দিয়েছেন। উনাকে এসিস্ট করেছিলেন আরেকজন ডিউটি ডাক্তার।  সব রোগীর ক্ষেত্রে উনি উপস্থিত থাকেন কীনা আমার জানা নাই। ,জি আমার ভিব্যাক উনার কাছেই হয়েছে। আমার ডেলিভারি উনার হাতেই হয়েছে এবং এপিশিওটোমির সেলাই ও উনি নিজে দিয়েছেন। উনাকে এসিস্ট করেছিলেন আরেকজন ডিউটি ডাক্তার।  সব রোগীর ক্ষেত্রে উনি উপস্থিত থাকেন কীনা আমার জানা নাই। ,0
Dr.Sahida Akter Rakhi,Obstetrics & Gynecology,"কুমিল্লা, Gomoti Hospital",,,হ্যাঁ,Sure jani na,Proyojon hole,Delivery hoy ni akhono,Delivery hoy ni akhono,0
শাহিদা আক্তার রাখি,Obstetrics & Gynecology,"কুমিল্লা, কুমিল্লা,  নজরুল এভিনিউ, কান্দিরপাড়, গোমতী হাসপাতাল,",,,হ্যাঁ,হ্যা ,এটা আমার জানা নাই,ওনি সবসময় থাকে না ওনার একটা টিম আছে। ওনি প্রয়োজনে সাথে সাথে ই আসে।,ওনি সবসময় থাকে না ওনার একটা টিম আছে। ওনি প্রয়োজনে সাথে সাথে ই আসে।,0
ডা:উম্মে আবেদীন সায়েমা,Obstetrics & Gynecology,"কুষ্টিয়া, হিকমাহ হাসপাতাল, পৌর গোরস্থানের দক্ষিণ পশ্চিম পার্শে,পেয়ারাতলা, কুষ্টিয়া",,,জানা নেই,জি আলহামদুলিল্লাহ ডাক্তার নিজেও পুরোপুরি পর্দা করেন। ,"আলহামদুলিল্লাহ অপ্রয়োজনীয় কোনো কিছু উনি করেন না। আমাকে এপিসিওটমি দেন নাই, পেরিনিয়াল মাসাজ করে দিয়েছিলেন নিজ হাতে অযথা পুশ করতে নিষেধ করছিলেন, কখন পুশ করতে হবে নলে দিচ্ছিলেন।।তারাহুরো করেন নাই ন্যাচারালি প্রোগ্রেস হতে দিয়েছেন।  সামান্য টিয়ার হয়েছিলো, ১ টা সেলাই লেগেছে ডাক্তার নিজেই সেলাই দিয়ে দিয়েছেন। এখন আর সেলাইওর চিহ্নও নেই।","হ্যা আমার ডেলিভারিতে ডাক্তার নিজে উপস্থিত ছিলেন প্রায় ১.৫-২ ঘন্টা। সবার ক্ষেত্রে সবসময় থাকা সম্ভব হয় না,তবে ডাক্তারের টিমও খুবই হেল্পফুল, টিমের সবাই ভালো ব্যবহার করে,ঝাড়ি বা বকা দেয় না, জোর করেনা।","হ্যা আমার ডেলিভারিতে ডাক্তার নিজে উপস্থিত ছিলেন প্রায় ১.৫-২ ঘন্টা। সবার ক্ষেত্রে সবসময় থাকা সম্ভব হয় না,তবে ডাক্তারের টিমও খুবই হেল্পফুল, টিমের সবাই ভালো ব্যবহার করে,ঝাড়ি বা বকা দেয় না, জোর করেনা।",1
ডা: মেজর. ( অব: ) অশ্রুলতা রায়,Obstetrics & Gynecology,"নারায়ণগঞ্জ, প্যান প্যাসিফিক হাসপাতাল ট্রেনিং এন্ড রিসার্চ ইনস্টিটিউট,  ২৪, আউটার সার্কুলার রোড ( পীর জঙ্গী মাজার সংলগ্ন), শাহজাহান পুর, মতিঝিল,  ঢাকা।",,,জানা নেই | হ্যাঁ | হ্যাঁ | জানা নেই | জানা নেই | জানা নেই | জানা নেই | জানা নেই | হ্যাঁ | হ্যাঁ | হ্যাঁ | জানা নেই | হ্যাঁ,"জি | জানা নেই | জি আলহামদুলিল্লাহ। উনি নিজেও পর্দা করেন।২০১১ সালের আগে উনি মদীনায় সরকারি হসপিটালের ডক্টর ছিলেন। | আগে থেকে বলে রাখলে পর্দার ক্ষেত্রে সহযোগিতা পাওয়া যাবে। | জি,আলহামদুলিল্লাহ। | মোটামুটি | জানা নেই | হ্যাঁ অনেক সহযোগী আলহামদুলিল্লাহ। | জ্বী | ঠিক জানি না | বললে সহযোগিতা করে।আলহামদুলিল্লাহ আমি পেয়েছি | জ্বি। তিনি নিজে হিন্দু ধর্মের হলেও পর্দার বিষয়ে তিনি খুব সচেতন। এমনকি তিনি ওটি তে, বা ডেলিভারি এর সময় কোনো ছেলে ডক্টর বা ছেলে ওয়ার্ড বয় কে ভিতরে থাকতে এলাও করেন না। | হ্যাঁ আলহামদুলিল্লাহ। | হ্যা | হ্যা | হ্যা। উনি প্র্যাক্টিসিং আলহামদুলিল্লাহ। | জ্বি আলহামদুলিল্লাহ, উনি নিজেও পর্দা করেন। | অবশ্যই | হ্যা","শুধু প্রয়োজন হলেই দেন। আমি আগে বলেছিলাম নিব না তায় আমাকে কোন রকম ওসুধ দেওয়া হয় নি। এপিসিওটমি লাগে কিন্তু তা সামান্য। আর তাও ১ম এ করায় নি যখন অনেক বার পুশ এও হচ্ছিল না আর বাজে টিয়ার হবার সম্ভাবনা তখন আমাকে বলেই সে সামান্য করে। | জ্বি মেডিকেল হস্তক্ষেপ নিয়েছেন আমার ক্ষেত্রে। আমার সাথে কয়েকজনকেও দেখলাম নিয়েছেন | আমার তো এপিসিওটমি লেগেছিল। প্রয়োজন ছাড়া তো ব্যবহার করার কথা না | সবাইকে দেন কি না জানি না। তবে আমি আগে থেকে নিষেধ করে রেখেছিলাম। উনি রাজিও হয়েছিলেন যে প্রয়োজন না হলে দিবেন না। কিন্তু লেবার রুমে আমাকে আর জিজ্ঞেস না করেই এপিসিওটমি দিয়ে দিয়েছেন। এই একটা ব্যাপারেই আমি আমার ডাক্তারের উপর একটু অসন্তুষ্ট। তাছাড়া আর সব দিক থেকে আমি পুরোপুরি সন্তুষ্ট উনার উপর। | প্রয়োজন হলে তখনিই কেবল মাত্র ব্যবহার করেন। | আমার ঠিক জানা নেই | সাধারণত প্রয়োজন ছাড়া করেন না | প্রয়োজন হলে | শুধু প্রয়োজন হলেই ব্যবহার করেন | জি। | আমার সময় এপিসিওটমি লেগেছিল,বাকিদের ব্যাপারে বলতে পারবো না।।তবে উনি নরমাল ডেলিভারি করতে উৎসাহ দেন। | আমি অলরেডি অনেক পেইন নিয়ে গিয়েছিলাম।হসপিটালে যখন যায় সাথে সাথে নার্স আমার পিভি চেক করে বলেন ৪-৫ সে.মি ডায়ালেটেড।এরপর আমাকে স্যালাইন দিয়েছিলো এবং এর ৩০ মিনিটের মধ্যে আমার ডেলিভারি হয়ে যায় আলহামদুলিল্লাহ। আসলে এতো পেইন নিয়ে গিয়েছিলাম তাই আমাকে কি দিচ্ছে না দিচ্ছে সেটা জানার আর সুযোগ হয় নাই।তবে হসপিটালে যাওয়ার ১ ঘন্টার মধ্যে আর স্যালাইন দেয়ার ৩০ মিনিটের মধ্যে  আমার ডেলিভারি হয়ে যায়। | প্রয়োজন হলে । প্রয়োজন না হলে সাভাবিক ভাবে ডেলিভারি করেন। | আমার জানা নেই। আমি শুধু জানি আমার এপিসিওটমির প্রয়োজন হয়েছিলো এবং তিনি তা করেছেন। আমার জরায়ুমুখ ঠিকভাবে খুলছিলোনা আর একদিকে নরমও হচ্ছিলো না। বাচ্চার মাথা এসে আটকে ছিলো। তখন উনি সাইড কেটে দিয়েছেন। এবং চৌদ্দ দিনের মাথায় আমি সুস্থ আলহামদুলিল্লাহ।  ওটিতে আমাদের দু ঘন্টা সময় লেগেছিলো।  আলহামদুলিল্লাহ সব ভালোভাবে সম্পূর্ণ হয়েছিলো। উনার ব্যবহার খুব মিষ্টি আলহামদুলিল্লাহ।  আমাকে মানুষিকভাবেও সাহায্য করছিলেন। বিভিন্নভাবে আমার ডেলিভারি সহজ করার চেষ্টা করেছিলেন। | আমার ডেলিভারির সময় উনি উপস্থিত থাকতে পারেন নি। সেজন্য জানা নেই | প্রয়োজন অনুযায়ি করেন | আপডেটেড গাইডলাইন অনুযায়ী শুধু প্রয়োজন হলেই এসব ব্যবহার করেন। | আমার এপিসিওটমি লেগেছিল।সবার ক্ষেত্রে কি করেন জানা নেই। | রোগীর কনডিশন বুঝে ব্যবস্থা গ্রহণ করেন। | দুটোই করেন","আমার সময় ছিলেন পুরো লেবার রুমেই। আমাকে আর বাবুকে পুরো পরিস্কার করে লেবার রুম থেকে যাবার সময় সে যায়। | ছিলেন না কারণ তখন রাত হয়ে গিয়েছিল। উনার টিম ছিল।কিন্তু উনি বেশ কয়েকবার এসে চেক করে গিয়েছিলেন। | আমার ডেলিভারি উনি নিজ হাতে করেছেন।তা বলতে পারছি না | জ্বি ডাক্তার নিজে উপস্থিত ছিলেন। সব রোগীর ক্ষেত্রে থাকেন কি না জানা নেই। | আমার নরমাল ডেলিভারির সময় ডাক্তার উপস্থিত ছিলেন না,  অন্য রোগীর সময়ও থাকেননা। | না | জ্বি | হ্যাঁ।সব রোগীর ক্ষেত্রেই থাকেন। | জি | না,ডেলিভারি হওয়ার পর এসে সব চেক করেছিলেন | সবারটা জানিনা সিউর।তবে আমার ডেলিভারির সময়টা উনার চেম্বারে রোগী দেখার সময় ছিলো।উনার চেম্বার আর উনার রোগীর ডেলিভারি সেম হসপিটালে তাই উনি রোগী দেখার মাঝে এসে আমার ডেলিভারিতে ছিলো এবং নিজ হাতে আমাকে সেলাইও দিয়েছেন আলহামদুলিল্লাহ। | জ্বি ডা: অশ্রুলতা ম্যাম ডেলিভারি এর সময় নিজে উপস্থিত থাকেন। | আমার নরমাল ডেলিভারির সময় তিনি নিজে উপস্থিত ছিলেন। সব রোগীর ক্ষেত্রে থাকেন কিনা জানি না। | উনি থাকতে পারেন নি | হ্যা | হ্যা তিনি নিজে উপস্থিত ছিলেন। সব রোগীর সময় থাকেন কিনা তা  জানিনা। | আমার সময় ছিলেন,আমার জানামতে সবার ক্ষেত্রেই উপস্থিত থাকেন তিনি। | না,তবে সর্বদা ফোনে খোঁজ নিয়েছেন। বেবি হওয়ার পর চেকআপের জন্য এসেছিলেন। | নিজেই উপস্থিত থাকেন, সব রোগীর ক্ষেত্রে থাকেন","আমার সময় ছিলেন পুরো লেবার রুমেই। আমাকে আর বাবুকে পুরো পরিস্কার করে লেবার রুম থেকে যাবার সময় সে যায়। | ছিলেন না কারণ তখন রাত হয়ে গিয়েছিল। উনার টিম ছিল।কিন্তু উনি বেশ কয়েকবার এসে চেক করে গিয়েছিলেন। | আমার ডেলিভারি উনি নিজ হাতে করেছেন।তা বলতে পারছি না | জ্বি ডাক্তার নিজে উপস্থিত ছিলেন। সব রোগীর ক্ষেত্রে থাকেন কি না জানা নেই। | আমার নরমাল ডেলিভারির সময় ডাক্তার উপস্থিত ছিলেন না,  অন্য রোগীর সময়ও থাকেননা। | না | জ্বি | হ্যাঁ।সব রোগীর ক্ষেত্রেই থাকেন। | জি | না,ডেলিভারি হওয়ার পর এসে সব চেক করেছিলেন | সবারটা জানিনা সিউর।তবে আমার ডেলিভারির সময়টা উনার চেম্বারে রোগী দেখার সময় ছিলো।উনার চেম্বার আর উনার রোগীর ডেলিভারি সেম হসপিটালে তাই উনি রোগী দেখার মাঝে এসে আমার ডেলিভারিতে ছিলো এবং নিজ হাতে আমাকে সেলাইও দিয়েছেন আলহামদুলিল্লাহ। | জ্বি ডা: অশ্রুলতা ম্যাম ডেলিভারি এর সময় নিজে উপস্থিত থাকেন। | আমার নরমাল ডেলিভারির সময় তিনি নিজে উপস্থিত ছিলেন। সব রোগীর ক্ষেত্রে থাকেন কিনা জানি না। | উনি থাকতে পারেন নি | হ্যা | হ্যা তিনি নিজে উপস্থিত ছিলেন। সব রোগীর সময় থাকেন কিনা তা  জানিনা। | আমার সময় ছিলেন,আমার জানামতে সবার ক্ষেত্রেই উপস্থিত থাকেন তিনি। | না,তবে সর্বদা ফোনে খোঁজ নিয়েছেন। বেবি হওয়ার পর চেকআপের জন্য এসেছিলেন। | নিজেই উপস্থিত থাকেন, সব রোগীর ক্ষেত্রে থাকেন",0
Dr. Nrinmoy Biswash,Obstetrics & Gynecology,"কক্সবাজার, Chaindha, Linkroad, Cox'Bazar Bangladesh",,,না,Yes,yes,"No, I was in undersupervision and delivery conducted by Midwife","No, I was in undersupervision and delivery conducted by Midwife",0
ডা রওশন আরা বেগম,Obstetrics & Gynecology,"খুলনা, রওশন আরা ক্লিনিক,সোনাডাঙা, খুলনা",,,জানা নেই,"জি,মোটামুটি ",জানা নেই,জি,জি,0
নাফিসা আনোয়ার মারিয়ানা,Obstetrics & Gynecology,"গাজীপুর, Elit care hospital and infertility center",,,হ্যাঁ,জ্বী আলহামদুলিল্লাহ,জ্বী,জ্বী উনি নিজেই থাকেন...,জ্বী উনি নিজেই থাকেন...,0
Dr Mahmuda sultana,Obstetrics & Gynecology,"গাজীপুর, Cresent uttara hospital",,,জানা নেই,Hae,Only when required ,Na,Na,0
"নাম মনে নেই,",Obstetrics & Gynecology,"গাজীপুর, কোনাবাড়ী,ব্রাক মেটারনিটি সেন্টার",,,জানা নেই,জি কোন পুরুষ নেই ওখানে,প্রয়োজন হলে।,না অনেক রাত হওয়ায় আসেন নাই অন্যরা ছিলো। ,না অনেক রাত হওয়ায় আসেন নাই অন্যরা ছিলো। ,0
ফাতেমা ইয়াসমিন,Obstetrics & Gynecology,"গাজীপুর, শেখ ফজিলাতুন্নেসা মেমোরিয়াল কেপিজে হস্পিটাল, কবিরপুর, সাভার",,,হ্যাঁ,জি,জি। তবে এটা উনার সাথে আগে কথা বলে বার্থ প্ল্যান জানিয়ে দিতে হবে। নয়ত অনেকের জন্যই মেইন্টেইন হবে না। তবে কেউ লেবারে থাকলে তাকে আস্ক করা হয়। ,জি। উনাদ ডিউটি টাইমে উনি প্রেসেন্ট থাকেন। রাতে থাকেন না সাধারনত। তবে কারো পেইন উঠলে উনি ওয়েট করেন ,জি। উনাদ ডিউটি টাইমে উনি প্রেসেন্ট থাকেন। রাতে থাকেন না সাধারনত। তবে কারো পেইন উঠলে উনি ওয়েট করেন ,0
মাহমুদা নাহার রুমা,Obstetrics & Gynecology,"গাজীপুর, গাজিপুর ক্লিনিক",,,না,হ্যা,একান্ত প্রয়োজন হলে করেন না হলে এগুলি দেন না।,একটা বেবির সময় ছিলেন।চেম্বারে থাকলে তখন থাকেন।,একটা বেবির সময় ছিলেন।চেম্বারে থাকলে তখন থাকেন।,0
Dr. Fatema Yesmin,Obstetrics & Gynecology,"গাজীপুর, Sheikh Fazilatunnesa Mujib Memorial KPJ Specialised Hospital",,,হ্যাঁ,Yes,If needed then ,No info,No info,0
Dr foyeza munni,Obstetrics & Gynecology,"গাজীপুর, BRB Our address is 77, Panthapath, Dhaka 1215. (Near Bashundhura City)",,,হ্যাঁ,Yes,If needed ,Yes ,Yes ,0
Dr. Rinku Das,Obstetrics & Gynecology,"চট্টগ্রাম, Innova hospital, Jamalkhan/ Max hospital, Mehedibag",,,জানা নেই,জানা নেই ,গাইডলাইন,হ্যাঁ,হ্যাঁ,0
Dr. Sanjida Kabir,Obstetrics & Gynecology,"চট্টগ্রাম, Evercare hospital Chattogram",,,জানা নেই,No info,No idea. But maybe she follows proper way which is stressfree for a mother,No info,No info,0
মোকাদ্দেস আক্তার বেগম,Obstetrics & Gynecology,"চট্টগ্রাম, মেডিক্যাল সেন্টার,জিইসি",,,জানা নেই,জ্বী আলহামদুলিল্লাহ। ,এপিসিওটমি লাগলে দেন।,জ্বী আলহামদুলিল্লাহ ছিলেন।,জ্বী আলহামদুলিল্লাহ ছিলেন।,0
Dr Shahanara Chowdhury,Obstetrics & Gynecology,"চট্টগ্রাম, Bellevue Chittagong",,,জানা নেই,জ্বি,শুধু প্রয়োজনে,"সব ক্ষেত্রে জানিনা, আমার ক্ষেত্রে ছিলেন","সব ক্ষেত্রে জানিনা, আমার ক্ষেত্রে ছিলেন",0
Hafiza Marjan,Obstetrics & Gynecology,"চট্টগ্রাম, Mother & child care",,,হ্যাঁ,Yes,Both,No info,No info,0
আকলিমা সুলতানা লিজা,Obstetrics & Gynecology,"চট্টগ্রাম, মেডিসন,মেডিকেল সার্ভিস, হাজিপাড়া,আগ্রাবাদ, চট্টগ্রাম",,,হ্যাঁ,জ্বি,জ্বি,জ্বি,জ্বি,0
Dr. Hafiza Marzan,Obstetrics & Gynecology,"চট্টগ্রাম, 1)National hospital,2)mother&child care hospital,3)Shahzalal diagnostic centre",,,হ্যাঁ | না,100% | Yes | Yes,"Yes | According to updated guideline | Pitosin, episiotomy diyechilo amake.",Yes,Yes,0
Dr nilima zafrin,Obstetrics & Gynecology,"চট্টগ্রাম, doctors hospital",,,জানা নেই,ji,amr khetre amr betha barar jnno opekkha korsilo..jkhn amr betha bartese na.baddho hoye dise,na..normal delivery hole thaken na..tobe nurse dr bole den kivabe ki kora lagbe..,na..normal delivery hole thaken na..tobe nurse dr bole den kivabe ki kora lagbe..,0
Dr Dil Anjij Begum,Obstetrics & Gynecology,"চট্টগ্রাম, imperial hospital",,,No info,No info,No info,No info,No info,0
হাফিজা মারজান,Obstetrics & Gynecology,"চট্টগ্রাম, ন্যাশনাল হসপিটাল,মেহেদিবাগ,পাচলাইশ। মাদার এন্ড চাইল্ড কেয়ার,বড়পুল,হালিশহর",,,হ্যাঁ,অনেক হেল্পফুল আলহামদুলিল্লাহ,প্রয়োজন না হলে উনি এপিশিওটমি দেন না,বেশিরভাগ রোগীর ক্ষেত্রেই থাকেন/ থাকার চেষ্টা করেন,বেশিরভাগ রোগীর ক্ষেত্রেই থাকেন/ থাকার চেষ্টা করেন,0
তাসলিমা আক্তার,Obstetrics & Gynecology,"চট্টগ্রাম, আলফা ল্যাব, পেপসির পিছনে। সিডিএ আবাসিক এলাকা,চট্টগ্রাম।",,,জানা নেই,জ্বী,"প্রয়োজন হলে,(আমার জানা অনুযায়ী) ",ডাক্তার বাসা ছেড়ে বাহির হতে হতে বাবু হয়ে গেছে সকাল ৭:৩৫ এ ,ডাক্তার বাসা ছেড়ে বাহির হতে হতে বাবু হয়ে গেছে সকাল ৭:৩৫ এ ,0
Farida Yasmin Sumi,Obstetrics & Gynecology,"চট্টগ্রাম, Genesis, Beside Mimi suer market, prothon Alo building",,,হ্যাঁ,Yes ,She does,Yes,Yes,0
ডা হাফিজা মারজান,Obstetrics & Gynecology,"চট্টগ্রাম, মাদার এন্ড চাইল্ড কেয়ার হসপিটাল",,,হ্যাঁ,জি,প্রয়োজন হলে,জি,জি,0
তাসলিমা আক্তার,Obstetrics & Gynecology,"চট্টগ্রাম, পার্কভিউ হসপিটাল, পাচঁলাইশ,চট্টগ্রাম",,,জানা নেই,জ্বি আলহামদুলিল্লাহ ,প্রয়োজন সাপেক্ষে ,জ্বী নিজেই উপস্থিত ছিলেন,জ্বী নিজেই উপস্থিত ছিলেন,0
হাফিজা মারজান,Obstetrics & Gynecology,"চট্টগ্রাম, ন্যাশনাল হসপিটাল,মেহেদীবাগ,চট্টগ্রাম",,,হ্যাঁ,জি,নিয়ম মেনেই করেন,জি,জি,0
"ডাক্তার হাফিজা মারজান, ডাক্তার ফরিদা ইয়াসমিন সুমি, ডাক্তার বিউটি নন্দী পাল",Obstetrics & Gynecology,"চট্টগ্রাম, মাদার এন্ড চাইল্ড কেয়ার হসপিটাল, আগ্রাবাদ, বড় পোল এক্সেস রোড,চট্টগ্রাম। ডক্টর সুমি এন্ড জেনেসিস ফার্টিলিটি সেন্টার,পিপলস হসপিটাল, পার্কভিউ হসপিটাল",,,হ্যাঁ,জ্বি ,প্রয়োজন হলে,জ্বি ,জ্বি ,0
হাফিজা মারজান,Obstetrics & Gynecology,"চট্টগ্রাম, মাদার এন্ড চাইল্ড কেয়ার হসপিটাল",,,হ্যাঁ,আলহামদুলিল্লাহ। আমি শুনেছি যারা পর্দা করেন তাদের জন্য উনি বেশ ভালো। ,আমার জানা নাই৷ এপিসিওটমি দেন এটা নিশ্চিত আমি।,আমার ১ম বাবু সিজারিয়ান,আমার ১ম বাবু সিজারিয়ান,0
"ড. হাফিজা মারজান, ড. নাজনীন সুলতানা",Obstetrics & Gynecology,"চট্টগ্রাম, মাদার এন্ড চাইল্ড কেয়ার হসপিটাল, এক্সিস রোড,বড়পোল,চট্টগ্রাম",,,হ্যাঁ,"জ্বী | জি, দুজনই",জ্বী | জানা নেই,জ্বী উনি ছিলেন। জ্বি সব রোগীর ক্ষেত্রেই থাকেন | ডেলিভারি হয়নি এখনো। তবে শোনা অভিজ্ঞতা মতে নিজে সবসময় উপস্থিত থাকেন না। অনেক সময় থাকেন,জ্বী উনি ছিলেন। জ্বি সব রোগীর ক্ষেত্রেই থাকেন | ডেলিভারি হয়নি এখনো। তবে শোনা অভিজ্ঞতা মতে নিজে সবসময় উপস্থিত থাকেন না। অনেক সময় থাকেন,0
Hafiza Marzan,Obstetrics & Gynecology,"চট্টগ্রাম, Mother&Child Care,Chittangong",,,হ্যাঁ,জ্বি,প্রয়োজন হলে ব্যবহার করেন,এখনো করাইনি,এখনো করাইনি,0
Dr.Shahida Akter Rakhi,Obstetrics & Gynecology,"চাঁদপুর, কুমিল্লা গৌমতী হসপিটাল, ২য় কান্দিরপাড়,নজরুল এভিনিউ",,,হ্যাঁ,জ্বী ,প্রয়োজন হলে,"উনি না থাকলে, ওনার টিম থাকেন এবং উনি ডক্টর সাজেস্ট করেন তবে উনি অলওয়েজ চেষ্টা করেন নিজে থাকার","উনি না থাকলে, ওনার টিম থাকেন এবং উনি ডক্টর সাজেস্ট করেন তবে উনি অলওয়েজ চেষ্টা করেন নিজে থাকার",0
গুলশান আরা লিমা,Obstetrics & Gynecology,"জয়পুরহাট, রয়েল ক্লিনিক,  ঝিনাইদহ সদর",,,জানা নেই,No info,জানা নেই নেই ,না ছিলেন না।আমার জানা নেই ,না ছিলেন না।আমার জানা নেই ,0
ডা গুলশান আরা লিমা,Obstetrics & Gynecology,"ঝিনাইদহ, রয়েল ডায়াগনস্টিক সেন্টার, শেরে বাংলা নগর, হামদহ, ঝিনাইদহ",,,No info,No info,No info,No info,No info,0
